Rice Name,Scientific Name,Also Known As,Storage Advice,Competing Varieties,Cultivation & Growth,Soil,Nutritional Benefits,Plant Height,Structure of Rice,Falling with Grain,Color,Aroma,Genetic Diversity,Global Production,Environmental Impact,Planting Season,Harvesting,Time Taken,Region,Protein (g),Fat (g),Iron (mg),Pest Resistant,Disease Resistance Level,Market Price (Rs/kg),Demand Level
SubolLota,Oryza sativa cv. 'Subol Lota',Subol Lota,Avoid moisture and sunlight,Gutisharna,High yield with irrigation,Alluvial,High iron content,113 cm,Long grain,High,White,Strong,Medium,Low,Low,June,October,122 days,Punjab,6.2,0.7,2,Low,Medium,87,Medium
Bashmoti,Oryza sativa cv. 'Bashmoti',Bashmoti,Keep in airtight containers,BR28,High yield with irrigation,Loamy,High iron content,101 cm,Short grain,Moderate,White,Mild,Low,Low,High,July,November,128 days,Bangladesh,6.3,0.5,2,High,Medium,75,Very High
Ganjiya,Oryza sativa cv. 'Ganjiya',Ganjiya,Avoid moisture and sunlight,Shorna5,Drought tolerant,Alluvial,Low glycemic index,123 cm,Medium grain,Moderate,Creamy,Earthy,Low,Medium,Moderate,July,November,122 days,West Bengal,7.1,0.6,1.4,High,Medium,110,Low
Shampakatari,Oryza sativa cv. 'Shampakatari',Shampakatari,Keep in airtight containers,Bashful,Flood resistant,Silty,Good source of protein,107 cm,Medium grain,Low,White,Mild,Low,Low,High,July,October-November,111 days,Chhattisgarh,6.1,0.6,2.3,Low,Low,117,High
Katarivog,Oryza sativa cv. 'Katarivog',Katarivog,Keep in airtight containers,BR28,Flood resistant,Fertile,Good source of protein,95 cm,Long grain,Low,White,Floral,Medium,High,Low,June,November,118 days,Odisha,6.3,0.5,2.2,High,Medium,77,High
BR28,Oryza sativa cv. 'BR28',BR28,Avoid moisture and sunlight,Amon,Flood resistant,Fertile,High iron content,122 cm,Medium grain,High,Creamy,Floral,Low,Medium,Moderate,July,November,117 days,West Bengal,7,0.5,1.7,Medium,High,75,Medium
BR29,Oryza sativa cv. 'BR29',BR29,"Store in cool, dry place",Bashful,Early maturing,Alluvial,Rich in carbohydrates,95 cm,Medium grain,Moderate,Light Brown,None,Medium,Low,Moderate,July,October,122 days,Assam,7.4,0.4,2.4,High,Low,113,Low
Paijam,Oryza sativa cv. 'Paijam',Paijam,Avoid moisture and sunlight,Lal_Aush,High yield with irrigation,Sandy Loam,Low glycemic index,107 cm,Short grain,Low,Creamy,Mild,Low,Low,High,June-July,October-November,127 days,West Bengal,7.5,0.7,1.6,Medium,Low,46,Very High
Bashful,Oryza sativa cv. 'Bashful',Bashful,Keep in airtight containers,Lal_Biroi,Early maturing,Clayey,Rich in carbohydrates,103 cm,Medium grain,High,White,Strong,Low,Low,Low,July,November,128 days,Punjab,6.3,0.8,1.7,Low,High,41,Medium
LalAush,Oryza sativa cv. 'Lal Aush',Lal Aush,Keep in airtight containers,Lal_Binni,High yield with irrigation,Loamy,Good source of protein,96 cm,Short grain,Moderate,Red,Mild,High,High,Low,June-July,November,112 days,Chhattisgarh,6.7,0.6,2.1,Medium,Low,106,Low
Jirashail,Oryza sativa cv. 'Jirashail',Jirashail,Avoid moisture and sunlight,Lal_Biroi,High yield with irrigation,Alluvial,Rich in carbohydrates,105 cm,Long grain,Moderate,Red,Nutty,Low,Medium,High,June,November,130 days,Odisha,6.3,0.4,2.5,High,Low,68,Medium
Gutisharna,Oryza sativa cv. 'Gutisharna',Gutisharna,"Store in cool, dry place",Lal_Binni,High yield with irrigation,Clayey,Low glycemic index,100 cm,Medium grain,Low,Light Brown,Strong,Medium,Low,Low,July,November,118 days,Chhattisgarh,6.5,0.6,2.2,Low,High,91,Very High
RedCargo,Oryza sativa cv. 'Red Cargo',Red Cargo,Keep in airtight containers,Shorna5,Drought tolerant,Alluvial,High iron content,125 cm,Short grain,High,Brown,Earthy,High,Low,High,June-July,November,112 days,Chhattisgarh,6.5,0.5,2.5,Medium,Low,58,High
Najirshail,Oryza sativa cv. 'Najirshail',Najirshail,"Store in cool, dry place",Katarivog,Early maturing,Clayey,Rich in carbohydrates,108 cm,Medium grain,High,Red,None,Medium,High,Low,July,November,108 days,UP,6.7,0.6,2.4,High,Low,55,High
KatariPolao,Oryza sativa cv. 'Katari Polao',Katari Polao,Avoid moisture and sunlight,Bashful,High yield with irrigation,Silty,Low glycemic index,119 cm,Long grain,Moderate,White,Floral,Medium,Medium,High,June,October-November,130 days,Chhattisgarh,7,0.5,2.1,High,Medium,107,High
LalBiroi,Oryza sativa cv. 'Lal Biroi',Lal Biroi,"Store in cool, dry place",Shampakatari,High yield with irrigation,Fertile,Low glycemic index,102 cm,Short grain,High,Golden,Nutty,High,Medium,Moderate,June,November,128 days,Maharashtra,7.1,0.4,1.7,Medium,High,73,Very High
ChiniguraPolao,Oryza sativa cv. 'Chinigura Polao',Chinigura Polao,Keep in airtight containers,Subol_Lota,Early maturing,Silty,Good source of protein,118 cm,Short grain,Moderate,Creamy,Nutty,High,Medium,High,June-July,October,130 days,Odisha,7.2,0.7,1.6,Low,Medium,65,Very High
Amon,Oryza sativa cv. 'Amon',Amon,"Store in cool, dry place",Ganjiya,High yield with irrigation,Clayey,Low glycemic index,106 cm,Long grain,High,Brown,Nutty,Low,Low,High,June-July,October,109 days,Andhra Pradesh,7.3,0.7,2.6,Low,High,95,Very High
Shorna5,Oryza sativa cv. 'Shorna5',Shorna5,Avoid moisture and sunlight,Najirshail,High yield with irrigation,Alluvial,Rich in carbohydrates,100 cm,Short grain,High,White,Strong,Low,Medium,Low,July,November,120 days,Andhra Pradesh,6.4,0.7,2.5,High,Medium,49,Very High
LalBinni,Oryza sativa cv. 'Lal Binni',Lal Binni,"Store in cool, dry place",Lal_Aush,Flood resistant,Sandy Loam,Rich in carbohydrates,124 cm,Long grain,High,Golden,Strong,Medium,Low,Low,June-July,October,116 days,Andhra Pradesh,6.7,0.4,1.3,High,Low,36,Low
